id;lat;lon;name;description;review;image
1;42,005709;21,4174425;Природонаучен Музеј;"Национален музеј што собира и чува, проучува, депонира и го изложува природното богатство на Република Македонија. 
";3,55;https://upload.wikimedia.org/wikipedia/mk/thumb/9/92/Prirodonaucen_muzej_makedonija.zgrada.24.8.2013.2.JPG/220px-Prirodonaucen_muzej_makedonija.zgrada.24.8.2013.2.JPG
2;42,0008716;21,4338778;Влез на Скопското кале;Тврдина за прв пат е изградена во 6. век и денес претставува еден од најубавите симболи на главниот град;4,62;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Fortaleza_de_Skopie%2C_Macedonia%2C_2014-04-17%2C_DD_83.JPG/220px-Fortaleza_de_Skopie%2C_Macedonia%2C_2014-04-17%2C_DD_83.JPG
3;41,9936684;21,4317487;Бегова кула;Кула во центарот на Скопје во предворјето на Домот на АРМ. Таа спаѓа во посебен вид станбена архитектура која истовремено служела и како одбранбен објект;3,88;https://m.mkd.mk/files/styles/statija/public/article/2019/07/07/mkd-428012.jpg?itok=G-rFTg_q
4;41,9959432;21,4367853;Палата „Борис Сарафов“;Името на зградата на Министерството за надворешни работи. ;4,72;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/MNR_SK.jpg/220px-MNR_SK.jpg
5;41,9930933;21,4298952;Wall Street Bull;Бронзена скулптура позиционирана во централното градско подрачје на пешачката улица Македонија.;4,62;https://republika.mk/wp-content/uploads/2021/03/skulptura-bik-skopje.jpg
6;42,0067997;21,4175559;Зоолошка градина скопје;Формирана во 1926 г., располага со 503 животни, од кои: 261 птица од 36 вида, 230 цицачи од 42 вида и 16 влекачи од 8 вида;3,99;https://kurir.mk/wp-content/uploads/2018/06/zoo-skopje.jpg
7;42,0026676;21,4362138;Музеј на Македонија;Установа составена од повеќе музеи: Археолошки, Етнолошки, Историскиот оддел и Одделот за уметност, а која денес се наоѓа на крајот од Старата чаршија, под Скопското кале;3,64;https://upload.wikimedia.org/wikipedia/commons/8/89/Museum_of_Macedonia_1.jpg
8;42,0040225;21,4329048;Музеј на современата уметност;Единствената установа во Македонија, којашто собира и обработува документација за македонската уметност и прикажува значајни историски филмови.;4,05;https://www.kulart.mk/wp-content/uploads/2019/09/Muzej_na_sovremena_umetnost_12.jpg
9;41,9987239;21,4357236;Национална галерија „Даут-пашин амам“;Стар амам и денешна ликовна галерија. Градбата била изградена на крајот на XV век, како завештание на Даут-паша, во чијашто чест и го добила името;3,78;https://macedonia-timeless.com/wp-content/uploads/2018/09/daut-pasin-amam.jpg
10;42,0020406;21,435464;Мустафа-пашина џамија;Карактеристичен претставник на раната цариградска архитектура. Во склоп на градбата влегувале турбе, шадрван, имарет и медреса, од коишто денес се зачувани турбето на Мустафа-паша, саркофагот на неговата ќерка Уми и шадрванот во дворот на џамијата.;3,06;https://cair.gov.mk/wp-content/uploads/2018/11/mustaphapashamosque1.jpg
11;41,9979845;21,4331319;Музеј на македонската борба;Проект на Владата на Република Македонија,отворен на 20-годишнината од независноста на Република Македонија, на 8 септември 2011 година.;4,44;http://mmb.org.mk/muzej/images/slider.jpg
12;41,9984656;21,4333832;Меморијален центар на холокаустот на Евреите од Македонија;Центар посветен на настраданите 7.148 Евреи од Македонија за време на холокаустот и историјата на Евреите на Балканот;3,33;https://www.ezrm.org.mk/wp-content/uploads/2020/09/muzej-nadvor-maj-2019-janevska-ilieva-1024x684.jpg
13;41,9985276;21,4264089;Соборен храм Свети Климент Охридски;Најголем соборен храм на Македонската православна црква во кој собира речиси 6000 верници. Главен мотив на резбата е лозови листови, афионови билки и желади.;3,56;https://i2.wp.com/journeymacedonia.com/wp-content/uploads/2016/07/Soborna-Crkva-St-Clement-of-Ohrid-Skopje.jpg?fit=2464%2C1632&ssl=1
14;42,0075224;21,4160345;Градски парк;Најголемиот градски парк во Македонија, дом на разновидна флора и фауна, место за релаксација и разонода во градот.;4,22;https://lider.com.mk/wp-content/uploads/2018/07/akcija_za_cistenje.jpg
15;41,9907944;21,4292052;Музеј на Град Скопје;Музејот е сместен во старата железничка станица која делумно била разурната во скопскиот земјотрес. Опфаќа музејски предмети од различни области: археологија, историја, етнологија, едукација.;3,76;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Antigua_estaci%C3%B3n_de_ferrocarril%2C_Skopie%2C_Macedonia%2C_2014-04-17%2C_DD_15.JPG/740px-Antigua_estaci%C3%B3n_de_ferrocarril%2C_Skopie%2C_Macedonia%2C_2014-04-17%2C_DD_15.JPG
16;41,9938304;21,430859;Спомен куќа на Мајка Тереза;Единствен музеј во светот посветен на Мајка Тереза. Објектот се наоѓа на истото место каде пред земјотресот во 1963 година, имало католичка црква во која била крстена Мајка Тереза.;3,88;https://srceisusovo.mk/wp-content/uploads/2020/03/%D0%A1%D0%BF%D0%BE%D0%BC%D0%B5%D0%BD-%D0%BA%D1%83%D1%9C%D0%B08-min.jpg
17;41,9961298;21,4317375;Плоштад Македонија;Главен плоштад на градот Скопје, служи за културни, политички и други манифестации.;4,68;http://flatiron.mk/codeframe/external/media/source/square-macedonia/macedonia-square-skopje.jpg
18;41,9968594;21,4344917;Археолошки музеј на Македонија;Најзначајна и најстара музејска установа во Македонија, содржи артефакти од различни оддели на археологијата. Во рамки на музејот има и библиотека 6000 книги.;4,87;http://www.skopjeinfo.mk/sites/default/files/styles/large/public/article/images/2017/december/ned_na_arheologija.jpg?itok=7Au6kq5b
19;41,9649784;21,3945879;Милениумски крст;Се наоѓа на врвот Крстовар на планината Водно. Изграден е во 2002 година со височина од 66м.;4,26;http://flatiron.mk/codeframe/external/media/source/millennium-cross/maxresdefault.jpg
20;41,9962142;21,4319367;Водоскоци;Претставуваат забавен дел од Плоштад Македонија.;3,95;https://i.ytimg.com/vi/PHkXVd-iulw/maxresdefault.jpg
21;42,0011057;21,4371237;Турска Чаршија;Трговски и културно-историски дел во Скопје и една од најголемите знаменитости на градот. Во чаршијата преовладува отоманската и византиската архитектура.;3,98;https://plusinfo.mk/wp-content/uploads/2019/10/stara-carsija-1.jpg
22;42,0007998;21,4335484;Скопско кале;Тврдина сместена на високиот рид Градиште, била од стратешко значење со векови, нуди фантастичен поглед на градот.;4,16;https://upload.wikimedia.org/wikipedia/commons/c/cb/KaleFortress-Skopje1.JPG
23;41,9957099;21,435918;Мост на уметноста;Пешачки мост преку реката Вардар на кој се поставени статуи на познати уметници.;4,18;https://upload.wikimedia.org/wikipedia/commons/0/05/%D0%9C%D0%BE%D1%81%D1%82_%D0%BD%D0%B0_%D1%83%D0%BC%D0%B5%D1%82%D0%BD%D0%BE%D1%81%D1%82%D0%B0_%28%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5%29.JPG
24;42,0000777;21,4367907;Капан АН;Деловен и угостителски објект, поранешен ан, сместен во Старата скопска чаршија. Претставувал место во кое преноќувале трговски патници.;3,77;http://photos.wikimapia.org/p/00/01/49/39/30_big.jpg
25;42,0031171;21,4370475;Куршумли-ан;Поранешен ан, денес се користи за одржување на културни настани, сместен во Старата скопска чаршија. Има декоративни ѕидови и мали куполи кои се покриени со олово по што го добил своето име.;3,59;https://upload.wikimedia.org/wikipedia/commons/9/9b/Kurshumli-An-Skopje-MK.JPG